X	Y
491532.765974892 	2171541.083984810 
491532.860372762 	2171541.169144940 
491532.849867101 	2171541.123781100 
491532.828873604 	2171541.070676340 
491532.828893524 	2171541.112725470 
491532.807959264 	2171541.184661560 
491532.786978874 	2171541.159220700 
491532.818396253 	2171541.085066530 
491532.828876225 	2171541.076209120 
491532.807936722 	2171541.137079640 
491532.807966604 	2171541.200153350 
491532.818439240 	2171541.175804140 
491532.807916801 	2171541.095030510 
491532.849840889 	2171541.068453290 
491532.912779444 	2171541.139243090 
491532.881350008 	2171541.187946460 
491532.818425086 	2171541.145927130 
491532.828893000 	2171541.111618920 
491532.881320651 	2171541.125979310 
491532.870836484 	2171541.125984280 
491532.807922568 	2171541.107202620 
491532.724050805 	2171541.110562030 
491532.745026478 	2171541.126043880 
491532.797441546 	2171541.113846930 
491532.828881991 	2171541.088381230 
491532.807916277 	2171541.093923950 
491532.786959478 	2171541.118278120 
491532.776474262 	2171541.116069970 
491532.786942702 	2171541.082868320 
491532.828856304 	2171541.034159980 
491532.849824638 	2171541.034150050 
491532.839368258 	2171541.092802490 
491532.807945634 	2171541.155891100 
491532.797461467 	2171541.155896070 
491532.807919947 	2171541.101669840 
491532.786947420 	2171541.092827330 
491532.797458322 	2171541.149256730 
491532.870885238 	2171541.228894010 
491532.870875802 	2171541.208976000 
491532.828896146 	2171541.118258250 
491532.807903695 	2171541.067366600 
491532.839354628 	2171541.064032030 
491532.923259418 	2171541.130385670 
491532.933753022 	2171541.150298710 
491532.860347075 	2171541.114923680 
491532.765967029 	2171541.067386470 
491532.765971223 	2171541.076238920 
491532.860350745 	2171541.122669580 
491532.944251343 	2171541.180170770 
491532.933755643 	2171541.155831500 
491532.849832501 	2171541.050748390 
491532.797398559 	2171541.023109320 
491532.797429489 	2171541.088396140 
491532.839383461 	2171541.124892620 
491532.881310167 	2171541.103848190 
491532.870819709 	2171541.090574480 
491532.828901388 	2171541.129323810 
491532.818426134 	2171541.148140240 
491532.839377694 	2171541.112720500 
491532.860307234 	2171541.030825410 
491532.818362178 	2171541.013140380 
491532.765981707 	2171541.098370040 
